,hhid,year,femaleh,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,rural,posttreatment,ptreat,Primary,Junior secondary,Senior secondary,Higher,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Sumatra,Java and Bali,Kalimantan,Sulawesi,%work10t12,%work13t15,%work16t18,%work10t18_x,Childlabour_x,%work10t18_y,Childlabour_y
63,120806001115.0,2005,0,5,0.2,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1,0.0,0.47576475,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
64,120806001116.0,2005,0,6,0.0,0.0,0.0,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.39622197,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
65,120901000601.0,2005,0,5,0.4,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1,0.0,0.2183813,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.16666667,1
66,120901000603.0,2005,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.0,1,0.0,0.14841399,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
67,120901000604.0,2005,0,3,0.0,0.33333334,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.20214620000000003,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
68,120901000606.0,2005,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,1,0.0,0.36219159999999995,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
69,120901000608.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.3128018,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
70,120901000611.0,2005,0,6,0.0,0.16666667,0.16666667,0.16666667,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.16664904,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
71,120901000613.0,2005,0,8,0.0,0.25,0.0,0.375,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,1,0.0,0.23608817,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
72,120901000614.0,2005,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,1,0.0,0.11523991,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
73,120901000615.0,2005,0,7,0.14285715,0.0,0.14285715,0.14285715,0.0,0.0,0.14285715,0.14285715,0.2857143,0.14285715,0.0,0.0,1,0.0,0.09816908,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.14285715,0.14285715,1,0.0,0
74,120918000302.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,0.0,0.6674884,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
75,120918000304.0,2005,0,4,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1,0.0,0.50001496,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
76,120918000305.0,2005,0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.1785787,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
77,120918000306.0,2005,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.42874527,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
78,120918000307.0,2005,0,4,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,1,0.0,0.068165794,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
